"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,27944,1117,850,31071,0,0,0,0,1407,0,6679,13171,54103,41080,52393,35646,12402,68379,28179,31519,0,0,0,0,4217,40750,1162,34222,32740,235
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,32439,1101,1077,35550,0,0,0,0,1139,0,4331,14355,63563,48990,61396,40152,14013,68977,33907,26600,0,0,0,0,4200,37063,3958,30355,25805,35
"ACCESS-ESM1-5","ssp245",2001,33981,1064,1008,40212,0,0,0,0,1001,0,4061,17651,67091,54893,64993,41642,14442,68001,38804,17981,0,0,0,0,5105,33251,6413,28603,19303,16
"CNRM-ESM2-1","ssp245",2001,33707,1079,1064,33526,0,0,0,0,1125,0,4545,12863,61720,46053,59257,40504,16144,68966,29937,32141,0,0,0,0,4129,39278,645,29524,28995,37
"EC-Earth3","ssp245",2001,30757,864,842,35991,0,0,0,0,855,0,3937,15994,64522,50269,62698,40205,12988,70234,33617,24894,0,0,0,0,3801,37045,6211,30750,23940,22
"GFDL-ESM4","ssp245",2001,33623,938,892,31737,0,0,0,0,1021,0,5037,12477,59093,46926,56535,37215,17329,70197,26202,34497,0,0,0,0,3928,45197,1529,29657,29447,55
"GISS-E2-1-G","ssp245",2001,34274,1122,1075,35011,0,0,0,0,1135,0,6435,14347,62495,48648,58467,39935,18741,68758,28425,30009,0,0,0,0,4790,40629,813,27181,28221,28
"MIROC6","ssp245",2001,34832,1166,1153,35305,0,0,0,0,1183,0,4729,15068,65225,51152,61820,42495,19507,67582,29877,28200,0,0,0,0,4796,37469,740,24528,24521,27
"MPI-ESM1-2-HR","ssp245",2001,25931,1154,994,34195,0,0,0,0,1212,0,5054,16391,60138,47655,59245,36816,9178,70288,33025,24407,0,0,0,0,3313,38000,7821,34456,25842,92
"MRI-ESM2-0","ssp245",2001,27745,709,687,33992,0,0,0,0,757,0,3392,16123,63985,49366,62663,38590,10777,71737,33983,26116,0,0,0,0,2989,37370,6862,32527,24850,38
"ensemble","ssp245",2021,37057,705,700,37112,0,0,0,0,666,0,2500,13601,69889,55183,67608,44279,16394,73057,36893,25992,0,0,0,0,3399,34746,4441,25013,19825,2
"ACCESS-ESM1-5","ssp245",2021,36668,579,554,39932,0,0,0,0,305,0,1205,18935,72800,63586,71526,47011,17198,72730,45364,15407,0,0,0,2,4598,28431,8894,23047,10131,1
"CNRM-ESM2-1","ssp245",2021,33800,833,813,35970,0,0,0,0,781,0,3404,14206,67655,53722,65580,41908,14353,73094,35735,25466,0,0,0,0,3095,36595,6427,27689,21143,1
"EC-Earth3","ssp245",2021,35092,619,619,35478,0,0,0,0,363,0,1730,15049,69858,54563,68092,44781,16445,73749,34456,27824,0,0,0,0,3084,35239,4589,25472,19710,10
"GFDL-ESM4","ssp245",2021,38364,876,865,35351,0,0,0,0,876,0,3254,12856,68043,52247,65535,44813,18883,70622,33929,29750,0,0,0,0,3727,35116,772,23926,23028,4
"GISS-E2-1-G","ssp245",2021,41995,769,769,35973,0,0,0,0,736,0,3607,13079,70775,57918,66869,46911,24116,73365,31956,29909,0,0,0,0,3988,38380,1761,19331,18755,0
"MIROC6","ssp245",2021,40247,534,524,32510,0,0,0,0,529,0,2447,10893,70225,55791,67505,45263,22363,72621,31125,33356,0,0,0,0,3085,37892,1482,20941,19761,0
"MPI-ESM1-2-HR","ssp245",2021,32661,1003,990,37481,0,0,0,0,970,0,3340,14893,66592,51876,64314,40890,12964,72470,36302,24855,0,0,0,0,4041,35833,5521,29032,22565,8
"MRI-ESM2-0","ssp245",2021,25364,890,890,34430,0,0,0,0,292,0,2908,20955,70860,59920,69070,40640,12924,74114,39280,18137,0,0,0,0,3004,34494,14517,29473,14307,10
"ensemble","ssp245",2041,39214,347,346,31810,0,0,0,0,234,0,1494,12040,73163,60638,71200,46789,21987,74418,33415,31754,0,0,0,0,2711,35645,4722,19708,14592,0
"ACCESS-ESM1-5","ssp245",2041,22601,589,487,30848,0,0,0,0,250,0,740,23524,73285,70939,73370,44444,15724,74319,43087,16037,15,15,0,905,4796,25266,16914,21579,3102,0
"CNRM-ESM2-1","ssp245",2041,40071,718,717,35438,0,0,0,0,348,0,2279,12878,71813,57972,69370,47085,20126,74138,35663,28312,0,0,0,0,3043,35616,4219,21730,17078,0
"EC-Earth3","ssp245",2041,40533,1086,1086,31925,0,0,0,0,599,0,1169,11218,74241,60412,72516,48393,21121,74430,37042,32607,0,0,0,0,3188,30616,3114,17580,13210,2
"GFDL-ESM4","ssp245",2041,27517,106,101,18349,0,0,0,0,81,0,867,5354,70767,58730,70441,32704,15457,73998,22914,45503,0,0,0,458,1627,35149,5996,22564,15758,1
"GISS-E2-1-G","ssp245",2041,45377,340,340,30590,0,0,0,0,245,0,2217,10956,73099,63212,70214,50721,29544,74494,27743,35891,0,0,0,0,2733,40418,2496,14753,13244,0
"MIROC6","ssp245",2041,37308,220,219,26307,0,0,0,0,202,0,1358,8871,72671,60321,70460,42204,23129,74374,27488,39337,0,0,0,1,2582,36637,2956,18094,15126,0
"MPI-ESM1-2-HR","ssp245",2041,28659,571,556,31689,0,0,0,0,548,0,3442,16413,69465,58540,67256,40470,16157,74111,34196,24987,0,0,0,0,2631,37399,10699,26787,16806,0
"MRI-ESM2-0","ssp245",2041,42772,983,983,29504,0,0,0,0,673,0,1793,14067,73547,65046,70916,53449,29774,74738,30192,33502,0,0,0,0,2738,39951,5854,15789,10284,5
"ensemble","ssp245",2061,36390,261,261,24620,0,0,0,0,81,0,807,10408,74127,65171,72749,44837,23979,74611,30189,37148,0,0,0,2,2595,35641,7077,17752,9726,0
"ACCESS-ESM1-5","ssp245",2061,23399,781,780,27128,0,0,0,0,706,0,719,19298,72960,72389,73580,45048,16234,74423,40281,23219,202,202,0,1527,4850,21881,14304,16493,1355,0
"CNRM-ESM2-1","ssp245",2061,38352,533,533,25590,0,0,0,0,142,0,950,9995,73901,62592,72517,45844,24096,74587,28817,39017,0,0,0,0,2505,35590,4343,17263,11880,0
"EC-Earth3","ssp245",2061,37765,1060,1060,18032,0,0,0,0,363,0,1081,7799,74609,66969,72942,45962,28615,74658,22133,48611,8,8,0,1,2584,34205,3375,10603,6825,1
"GFDL-ESM4","ssp245",2061,32487,244,241,27792,0,0,0,0,177,0,1150,11003,71591,59775,70210,40267,17574,74033,32998,32865,0,0,0,25,2494,33464,6250,22413,14783,2
"GISS-E2-1-G","ssp245",2061,40575,180,180,22256,0,0,0,0,85,0,1087,8037,73933,65985,71941,46408,29174,74691,23872,43544,0,0,0,0,2388,39044,4231,13876,9682,0
"MIROC6","ssp245",2061,27442,57,56,19139,0,0,0,0,55,0,896,7545,73100,63665,71367,36358,19163,74597,25007,41418,0,0,0,209,2716,36766,9031,21049,11565,0
"MPI-ESM1-2-HR","ssp245",2061,16209,318,314,26227,0,0,0,0,121,0,3029,21040,71434,66389,70170,36509,12312,74472,39243,17732,0,0,0,0,2349,36484,23418,31318,8539,0
"MRI-ESM2-0","ssp245",2061,42115,801,801,26205,0,0,0,0,464,0,1437,13110,73965,66164,71722,52505,31232,74716,27900,37843,0,0,0,0,2737,37757,4180,12857,8940,5
"ensemble","ssp245",2081,32187,127,127,17465,0,0,0,0,38,0,385,8753,73950,69064,73291,43644,25495,74678,24145,44503,3,3,0,602,2907,33337,7222,13564,5839,0
"ACCESS-ESM1-5","ssp245",2081,15627,589,545,23963,0,0,0,0,543,0,503,20636,71272,71989,73992,44412,12286,73819,35516,25069,699,699,0,2629,4916,17583,14096,15920,1410,0
