"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"MRI-ESM2-0","ssp245",2041,10016,609,376,8285,0,0,0,0,746,0,393,0,38204,18563,48837,12761,12136,59489,547,52,0,0,0,0,6409,2572,0,4039,6443,0
"ensemble","ssp245",2061,7408,202,47,6780,0,0,0,0,178,0,52,0,36214,18480,49570,10310,11863,58763,410,13,0,0,0,0,4878,3782,0,4132,6323,0
"ACCESS-ESM1-5","ssp245",2061,2888,565,34,3807,0,0,0,0,495,0,8,0,30530,17205,52825,6677,4631,55244,528,1,0,0,0,0,2327,7856,0,544,850,0
"CNRM-ESM2-1","ssp245",2061,8135,360,108,7197,0,0,0,0,347,0,60,0,36194,18500,49148,10939,12716,58620,393,26,0,0,0,0,5444,2893,0,5286,7980,0
"EC-Earth3","ssp245",2061,5456,767,331,4801,0,0,0,0,699,0,98,0,34671,18630,48609,7543,14014,60314,288,2,0,0,0,0,3550,1377,0,2891,4326,1
"GFDL-ESM4","ssp245",2061,7680,205,65,7390,0,0,0,0,200,0,184,0,36475,18298,49864,11359,10083,56585,530,322,0,0,0,0,5302,4712,0,7138,10333,1
"GISS-E2-1-G","ssp245",2061,8218,119,21,6748,0,0,0,0,141,0,88,0,36276,18594,47922,10266,15498,60092,324,24,0,0,0,0,4941,2900,0,3838,6134,0
"MIROC6","ssp245",2061,5238,46,15,4874,0,0,0,0,51,0,77,0,35113,18319,49477,7394,12899,59489,440,80,0,0,0,0,3060,4610,0,5150,7763,0
"MPI-ESM1-2-HR","ssp245",2061,3168,233,42,3729,0,0,0,0,240,0,146,0,38281,18483,52249,6910,4067,56768,569,156,0,0,0,0,1734,10564,0,3630,5900,0
"MRI-ESM2-0","ssp245",2061,8563,569,310,7181,0,0,0,0,588,0,238,0,37146,18570,48650,11671,12760,59378,443,14,0,0,0,0,5392,2190,0,3452,5558,0
"ensemble","ssp245",2081,3992,94,19,4064,0,0,0,0,88,0,4,0,33712,18192,49737,6321,12207,59855,351,2,0,0,0,0,2313,3712,0,2280,3538,0
"ACCESS-ESM1-5","ssp245",2081,1578,384,32,2602,0,0,0,0,361,0,13,0,27458,16442,53220,4680,4865,54667,496,4,0,0,0,0,1322,8601,0,618,930,0
"CNRM-ESM2-1","ssp245",2081,3605,344,67,3917,0,0,0,0,331,0,12,0,35336,18494,51309,6331,8410,59315,328,2,0,0,0,0,2274,5916,0,2469,3724,0
"EC-Earth3","ssp245",2081,3032,677,192,3292,0,0,0,0,595,0,43,0,33115,18182,49366,5107,12215,60190,166,2,0,0,0,0,2112,1536,0,1064,1563,0
"GFDL-ESM4","ssp245",2081,4914,14,66,3904,0,0,0,0,146,0,115,0,34192,17760,46276,4772,19181,61464,212,28,0,0,0,0,2230,1252,0,3617,5868,0
"GISS-E2-1-G","ssp245",2081,6606,63,2,5514,0,0,0,0,71,0,36,0,35794,18556,48504,9388,14242,59929,370,3,0,0,0,0,3681,3430,0,2176,3566,0
"MIROC6","ssp245",2081,3840,24,7,3928,0,0,0,0,21,0,4,0,30734,17141,49616,4810,13684,58674,406,2,0,0,0,0,2414,3081,0,2566,3866,0
"MPI-ESM1-2-HR","ssp245",2081,7731,357,118,7522,0,0,0,0,465,0,324,0,36546,18146,51105,12404,6515,55446,730,24,0,0,0,0,5448,4470,0,5313,8154,0
"MRI-ESM2-0","ssp245",2081,3287,553,292,2765,0,0,0,0,506,0,110,0,34849,18615,49911,5156,11679,61278,356,2,0,0,0,0,1557,4012,0,1623,2450,0
