"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,16251,898,421,15264,0,0,0,0,1356,0,2777,2014,36614,19258,45029,20635,22118,50541,2226,7018,0,0,0,0,13686,19107,0,22352,28606,120
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,13398,822,343,12813,0,0,0,0,1066,0,1450,1468,37478,18405,48071,18784,14526,51665,1563,3308,0,0,0,0,10944,10934,0,15072,20218,11
"ACCESS-ESM1-5","ssp245",2001,12052,736,306,11914,0,0,0,0,855,0,986,1254,36724,18003,50086,19128,11810,49313,1604,1607,0,0,0,0,9777,9285,0,10316,14637,3
"CNRM-ESM2-1","ssp245",2001,14606,852,350,13405,0,0,0,0,1077,0,1609,1571,37017,18386,46132,20216,18513,51877,1444,4170,0,0,0,0,11624,12023,0,17299,22874,11
"EC-Earth3","ssp245",2001,11754,584,212,11202,0,0,0,0,754,0,1043,1198,37398,18288,48744,16211,11940,52240,1401,2684,0,0,0,0,9188,10384,0,13878,18773,6
"GFDL-ESM4","ssp245",2001,14839,762,322,12778,0,0,0,0,973,0,1644,1484,36577,18457,44382,19239,21084,52372,1687,4908,0,0,0,0,10500,13324,0,17466,22886,17
"GISS-E2-1-G","ssp245",2001,14704,882,365,13562,0,0,0,0,1108,0,1675,1792,36126,18572,45791,20240,20317,52076,1582,3778,0,0,0,0,11372,11394,0,15486,21547,8
"MIROC6","ssp245",2001,13522,793,336,12758,0,0,0,0,1066,0,1294,1584,35892,18079,46928,20332,18114,51689,1134,2620,0,0,0,0,10702,8728,0,13269,18572,6
"MPI-ESM1-2-HR","ssp245",2001,10954,755,343,10574,0,0,0,0,1045,0,1594,1046,37358,18398,48468,14870,10788,50620,1447,3980,0,0,0,0,8710,13717,0,16296,21200,39
"MRI-ESM2-0","ssp245",2001,10960,437,140,10632,0,0,0,0,625,0,1132,437,37758,18152,48821,14576,10110,53025,1128,2989,0,0,0,0,8474,10268,0,14578,19438,12
"ensemble","ssp245",2021,11534,560,185,11037,0,0,0,0,642,0,628,100,37831,18234,49466,15521,10328,54593,941,1056,0,0,0,0,8931,5714,0,9994,14306,1
"ACCESS-ESM1-5","ssp245",2021,8698,365,124,8939,0,0,0,0,381,0,242,12,36612,17726,51957,14776,5836,52290,934,64,0,0,0,0,6616,6196,0,4500,6826,1
"CNRM-ESM2-1","ssp245",2021,11257,607,207,10682,0,0,0,0,736,0,800,170,37933,18355,49317,14646,10072,54211,1026,1678,0,0,0,0,8511,7684,0,11244,15761,0
"EC-Earth3","ssp245",2021,10328,429,136,9754,0,0,0,0,455,0,377,17,37519,18149,49390,13890,9866,55351,768,1150,0,0,0,0,7710,5630,0,10264,14367,5
"GFDL-ESM4","ssp245",2021,13095,640,236,12284,0,0,0,0,800,0,900,548,37290,18218,47969,18551,14656,53392,912,1676,0,0,0,0,10148,6240,0,11926,16954,2
"GISS-E2-1-G","ssp245",2021,12240,670,229,11264,0,0,0,0,734,0,764,88,37278,18228,47948,16328,14916,55524,1048,836,0,0,0,0,9110,4372,0,8250,12914,0
"MIROC6","ssp245",2021,12098,413,138,10978,0,0,0,0,503,0,506,224,37497,18251,47748,16306,14720,55716,589,972,0,0,0,0,8910,4705,0,9748,14101,0
"MPI-ESM1-2-HR","ssp245",2021,11755,763,288,11252,0,0,0,0,910,0,1024,373,37748,18248,49008,15644,10573,53230,1455,2148,0,0,0,0,9367,8912,0,12666,17227,2
"MRI-ESM2-0","ssp245",2021,6525,550,214,6622,0,0,0,0,546,0,258,0,37840,18406,51866,10500,4901,54966,791,491,0,0,0,0,4478,7060,0,6810,10201,7
"ensemble","ssp245",2041,9799,254,86,9122,0,0,0,0,297,0,199,0,37339,18382,49493,13126,11238,57411,479,132,0,0,0,0,7046,3313,0,6442,9855,0
"ACCESS-ESM1-5","ssp245",2041,3524,356,5,4482,0,0,0,0,277,0,22,0,32451,17384,52908,8370,4083,54864,697,1,0,0,0,0,2581,9116,0,1178,1889,0
"CNRM-ESM2-1","ssp245",2041,11142,519,160,10340,0,0,0,0,550,0,391,7,37894,18346,49400,14686,10866,56167,730,544,0,0,0,0,8299,4403,0,7975,11894,0
"EC-Earth3","ssp245",2041,9460,660,283,8811,0,0,0,0,717,0,234,0,36705,18329,50218,13284,9662,57025,335,10,0,0,0,0,7151,1845,0,5986,9029,1
"GFDL-ESM4","ssp245",2041,5604,82,17,5336,0,0,0,0,78,0,125,0,35190,18166,48731,7312,13792,58914,317,220,0,0,0,0,3494,4186,0,7748,11084,0
"GISS-E2-1-G","ssp245",2041,11020,233,76,9358,0,0,0,0,310,0,283,2,37579,18498,47911,13810,14724,58373,510,167,0,0,0,0,7244,2754,0,5225,8595,0
"MIROC6","ssp245",2041,8706,126,57,7866,0,0,0,0,189,0,146,0,36228,18387,48283,11683,14058,58032,344,231,0,0,0,0,5912,3044,0,6854,10299,0
"MPI-ESM1-2-HR","ssp245",2041,7804,452,132,7468,0,0,0,0,532,0,522,2,37980,18479,50077,11235,8543,55457,821,858,0,0,0,0,5280,7301,0,8238,12141,0
