"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,13972,910,496,15732,0,0,0,0,1373,0,4018,6586,40851,28515,44246,25401,7252,52463,14372,19328,0,0,0,0,2108,38875,634,27272,28612,232
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,12439,838,462,14224,0,0,0,0,1066,0,2376,5824,41213,28210,46494,25716,4472,54210,12240,15535,0,0,0,0,1511,34205,400,21290,20230,22
"ACCESS-ESM1-5","ssp245",2001,11194,763,435,13428,0,0,0,0,850,0,1729,6194,40758,27717,48237,25899,4226,53390,11449,10836,0,0,0,0,1570,30175,427,18144,14648,5
"CNRM-ESM2-1","ssp245",2001,12987,872,491,13982,0,0,0,0,1070,0,2625,5628,41080,28065,45398,25582,5070,53818,12598,17807,0,0,0,0,1555,35813,152,22300,22886,22
"EC-Earth3","ssp245",2001,11538,584,313,14313,0,0,0,0,737,0,1760,5835,41902,28512,46760,25483,4102,55982,10956,14180,0,0,0,0,1251,33996,534,20812,18784,11
"GFDL-ESM4","ssp245",2001,12780,773,430,13281,0,0,0,0,972,0,2882,5649,41883,28108,43485,23642,5526,55656,12116,17318,0,0,0,0,1602,37782,340,22309,22902,34
"GISS-E2-1-G","ssp245",2001,12680,888,495,14249,0,0,0,0,1092,0,3367,6020,41063,28066,45008,24914,5658,54995,12446,17205,0,0,0,0,1713,36062,192,20175,21559,16
"MIROC6","ssp245",2001,11643,822,444,13554,0,0,0,0,1066,0,2753,5810,40963,27850,46372,25133,4870,54750,11730,16162,0,0,0,0,1372,33679,97,17880,18584,13
"MPI-ESM1-2-HR","ssp245",2001,10416,789,440,13940,0,0,0,0,1043,0,2220,5774,41768,28532,46020,24703,3458,54572,10679,13794,0,0,0,0,1256,34480,581,23152,21212,72
"MRI-ESM2-0","ssp245",2001,10531,430,207,13783,0,0,0,0,614,0,1804,5534,42621,29106,46377,24724,3386,56374,10569,14710,0,0,0,0,917,34205,488,21675,19450,22
"ensemble","ssp245",2021,11880,562,284,13494,0,0,0,0,620,0,1475,5398,42951,29333,47943,25068,3690,58055,10973,14260,0,0,0,0,984,32098,320,16457,14317,2
"ACCESS-ESM1-5","ssp245",2021,9945,353,213,11542,0,0,0,0,282,0,551,5776,42181,29076,49984,24852,3625,57582,9971,7786,0,0,0,0,1057,25940,218,12867,6832,1
"CNRM-ESM2-1","ssp245",2021,11435,608,317,13811,0,0,0,0,716,0,1718,5353,43177,29302,47313,24848,3715,58117,10496,13785,0,0,0,0,959,33508,412,18185,15773,1
"EC-Earth3","ssp245",2021,11109,372,207,13326,0,0,0,0,281,0,992,5298,43422,29576,47762,24880,3626,59290,10005,14568,0,0,0,0,835,32655,397,16857,14379,7
"GFDL-ESM4","ssp245",2021,12441,665,344,13106,0,0,0,0,801,0,1930,5430,42063,28731,47234,25100,4159,55769,11642,16318,0,0,0,0,1082,32228,81,17020,16965,3
"GISS-E2-1-G","ssp245",2021,12244,685,352,13281,0,0,0,0,721,0,2187,5530,43799,29333,47196,24610,4670,59356,11120,15708,0,0,0,0,1155,34405,192,13008,12925,0
"MIROC6","ssp245",2021,11908,443,228,12214,0,0,0,0,510,0,1510,4803,43632,29267,47023,23322,4068,58772,10526,16233,0,0,0,0,828,34021,141,14606,14112,0
"MPI-ESM1-2-HR","ssp245",2021,11506,775,420,14123,0,0,0,0,900,0,1731,5687,42434,29034,47229,25252,4084,56814,11164,14067,0,0,0,0,1326,33056,479,19518,17238,5
"MRI-ESM2-0","ssp245",2021,7794,444,304,12544,0,0,0,0,189,0,1291,5520,44191,29856,48362,24340,3057,61212,7362,9306,0,0,0,0,934,32205,402,16778,10212,9
"ensemble","ssp245",2041,10800,266,156,11423,0,0,0,0,220,0,927,4763,44193,29894,48022,22334,3678,61298,9324,14051,0,0,0,0,736,32806,261,12288,9866,0
"ACCESS-ESM1-5","ssp245",2041,5014,337,179,7602,0,0,0,0,169,0,332,4875,41159,29730,50442,19899,3121,62141,5837,3126,0,0,0,0,1206,23506,115,10655,1890,0
"CNRM-ESM2-1","ssp245",2041,11782,468,268,12869,0,0,0,0,321,0,1358,5173,43915,29715,48026,24519,3754,59871,10664,14389,0,0,0,0,885,32807,311,13988,11905,0
"EC-Earth3","ssp245",2041,10518,669,456,10234,0,0,0,0,452,0,629,4298,43252,30221,48920,21246,3343,60467,9620,13280,0,0,0,0,876,28842,177,11130,9035,1
"GFDL-ESM4","ssp245",2041,6531,78,48,5890,0,0,0,0,70,0,470,1937,43702,29772,46852,12646,2204,63122,4985,14348,0,0,0,0,392,32540,217,14262,11095,1
