"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"GISS-E2-1-G","ssp245",2041,11659,249,124,11625,0,0,0,0,239,0,1416,4756,45346,29920,46974,22563,4261,62283,9267,15304,0,0,0,0,753,35768,177,9326,8604,0
"MIROC6","ssp245",2041,9436,173,120,9013,0,0,0,0,192,0,896,3672,44224,29810,47203,18270,3462,62092,7883,15109,0,0,0,0,661,33355,183,11779,10309,0
"MPI-ESM1-2-HR","ssp245",2041,8813,460,219,11836,0,0,0,0,522,0,1579,5298,44483,29685,47523,23038,3528,60962,7762,11590,0,0,0,0,819,34120,419,16298,12153,0
"MRI-ESM2-0","ssp245",2041,11104,734,458,11988,0,0,0,0,546,0,1127,5144,45762,30276,47126,23699,4002,63176,9030,13524,0,0,0,0,819,35948,363,9055,6452,0
"ensemble","ssp245",2061,8604,174,83,8411,0,0,0,0,65,0,506,3812,44383,30150,47762,18266,3526,63018,7008,12600,0,0,0,0,694,33083,244,10157,6332,0
"ACCESS-ESM1-5","ssp245",2061,4124,558,390,5550,0,0,0,0,433,0,335,4219,39880,29852,50734,16003,2730,62319,4972,4394,0,0,0,0,1317,20374,74,8026,854,0
"CNRM-ESM2-1","ssp245",2061,9114,310,189,8831,0,0,0,0,107,0,546,3806,44416,30170,47708,18778,3420,62684,7513,14286,0,0,0,0,738,33037,250,10507,7987,0
"EC-Earth3","ssp245",2061,6556,650,458,5844,0,0,0,0,247,0,518,2771,44349,30503,47166,13426,3338,64523,4802,14326,0,0,0,0,766,32220,185,6114,4332,1
"GFDL-ESM4","ssp245",2061,8712,199,128,8834,0,0,0,0,168,0,632,4173,43582,29776,48157,19196,3245,61072,7856,12494,0,0,0,0,641,30825,244,13875,10344,2
"GISS-E2-1-G","ssp245",2061,8980,115,50,8200,0,0,0,0,70,0,708,3255,45248,30162,46660,17076,3728,63938,6624,14546,0,0,0,0,611,35478,184,8156,6143,0
"MIROC6","ssp245",2061,6262,50,34,6050,0,0,0,0,52,0,510,2543,44096,29944,47481,14539,2834,64346,4716,12055,0,0,0,0,640,33609,254,12214,7771,0
"MPI-ESM1-2-HR","ssp245",2061,4498,201,115,9475,0,0,0,0,108,0,1060,5181,45395,30052,48053,21386,2887,63809,4375,4884,0,0,0,0,685,34081,306,15978,5908,0
"MRI-ESM2-0","ssp245",2061,9665,585,354,9966,0,0,0,0,363,0,854,4710,45364,30276,47228,21027,3918,63349,7906,13984,0,0,0,0,770,34754,286,7510,5565,0
"ensemble","ssp245",2081,5322,80,37,5111,0,0,0,0,25,0,254,2825,43376,30277,48004,13332,2892,64674,4019,12254,0,0,0,0,661,31200,184,7197,3544,0
"ACCESS-ESM1-5","ssp245",2081,2632,386,246,3746,0,0,0,0,349,0,256,3634,38078,29585,51575,13777,2234,62946,3854,4648,0,0,0,0,1109,16264,14,7720,932,0
"CNRM-ESM2-1","ssp245",2081,4872,289,186,5301,0,0,0,0,101,0,311,3220,43988,30280,48471,14748,2715,64581,3963,8754,0,0,0,0,749,30379,169,10956,3728,0
"EC-Earth3","ssp245",2081,4202,597,442,3839,0,0,0,0,324,0,371,2391,43045,30313,47915,11013,2471,64738,3455,13899,0,0,0,0,734,29200,134,3448,1568,0
"GFDL-ESM4","ssp245",2081,5514,142,102,4388,0,0,0,0,187,0,728,662,44297,30031,45294,9208,2006,66212,3135,16104,0,0,0,0,615,35410,136,6394,5876,0
"GISS-E2-1-G","ssp245",2081,7727,56,20,7278,0,0,0,0,31,0,474,3775,45086,30214,47109,17109,3774,64276,5896,13140,0,0,0,0,614,34883,198,6260,3574,0
"MIROC6","ssp245",2081,4664,27,23,4509,0,0,0,0,20,0,157,1464,40596,30085,48515,11262,1616,64391,3569,12629,0,0,0,0,750,28413,88,6015,3868,0
"MPI-ESM1-2-HR","ssp245",2081,8952,406,200,10629,0,0,0,0,412,0,852,5228,42892,29843,49355,22780,3581,60592,8621,9916,0,0,0,0,1006,28113,218,12599,8162,0
"MRI-ESM2-0","ssp245",2081,4283,488,318,4820,0,0,0,0,192,0,419,3124,44868,30382,47261,13377,3055,66188,2881,10940,0,0,0,0,672,34536,264,7830,2456,0
