"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,31973,638,427,15395,0,0,0,0,1208,0,2089,31544,49936,31478,27757,26099,1337,54557,23457,15551,0,0,0,0,0,39372,1337,27208,20036,232
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,37921,805,538,17628,0,0,0,0,1002,0,1813,36432,58925,37377,31592,32014,1269,58233,25683,20361,0,0,0,0,6,35755,1269,21431,14745,36
"ACCESS-ESM1-5","ssp245",2001,42476,748,506,19942,0,0,0,0,871,0,1934,41877,62446,42029,37242,37676,1719,59738,30522,18270,0,0,71,0,17,31526,1719,18172,10660,36
"CNRM-ESM2-1","ssp245",2001,35696,791,533,16600,0,0,0,0,979,0,1844,34124,56893,35148,29581,27747,1216,57861,24828,18882,0,0,0,0,2,38153,1216,23495,16670,37
"EC-Earth3","ssp245",2001,38755,587,414,17872,0,0,0,0,716,0,1742,35574,60024,38314,31358,33249,1225,57422,23685,23882,0,0,21,0,14,35934,1225,20479,13781,22
"GFDL-ESM4","ssp245",2001,36296,651,450,15784,0,0,0,0,856,0,2074,27662,54236,35867,25793,25036,1310,56803,19908,23458,0,0,0,0,10,42820,1310,22908,16531,55
"GISS-E2-1-G","ssp245",2001,37824,790,538,17210,0,0,0,0,994,0,2942,32595,57384,37188,29539,27600,1404,57762,23598,19818,0,0,0,0,1,38984,1404,21148,15160,28
"MIROC6","ssp245",2001,39319,866,578,17211,0,0,0,0,1084,0,2268,34978,60156,38994,32137,29807,1260,58442,25665,19906,0,0,29,0,12,36334,1260,18922,13153,32
"MPI-ESM1-2-HR","ssp245",2001,36470,748,499,17110,0,0,0,0,1074,0,1883,33706,56102,36268,30175,32981,1006,55292,21711,23774,0,0,2,0,13,36685,1006,22716,15963,104
"MRI-ESM2-0","ssp245",2001,37395,470,329,16988,0,0,0,0,606,0,1322,33472,59342,37635,30202,33108,1050,56913,22168,26399,0,0,2,0,20,36368,1050,20950,14328,38
"ensemble","ssp245",2021,41218,489,351,18376,0,0,0,0,549,0,1401,36215,64796,41908,32676,33906,1040,61222,25971,26015,0,0,302,0,8,33719,1040,16211,10386,2
"ACCESS-ESM1-5","ssp245",2021,47000,256,282,19806,0,0,0,0,266,0,695,42390,68592,48580,39800,42612,1782,62523,31566,24659,0,0,783,2,24,27076,1782,11004,4940,19
"CNRM-ESM2-1","ssp245",2021,40328,558,404,17926,0,0,0,0,660,0,1748,34026,62826,40764,31190,33670,944,59542,23477,27368,0,0,261,0,17,35547,944,17336,11508,1
"EC-Earth3","ssp245",2021,40578,211,290,17550,0,0,0,0,251,0,938,34622,64850,41408,31829,33232,972,60050,23798,28791,0,0,410,0,42,34468,972,16605,10584,10
"GFDL-ESM4","ssp245",2021,39186,634,437,17527,0,0,0,0,745,0,1691,36442,62719,39753,32302,30432,1135,60964,27416,21739,0,0,138,0,10,34201,1135,18231,12126,4
"GISS-E2-1-G","ssp245",2021,43419,536,390,17634,0,0,0,0,578,0,2152,32244,65640,43978,30210,29644,1078,61550,23475,27831,0,0,185,0,4,36868,1078,13484,8841,0
"MIROC6","ssp245",2021,39990,358,272,15863,0,0,0,0,432,0,1412,31513,64604,42233,29652,28434,779,61704,23742,27830,0,0,810,0,12,36937,779,15304,10143,0
"MPI-ESM1-2-HR","ssp245",2021,39518,709,496,18564,0,0,0,0,821,0,1639,35908,61756,39496,32144,33974,1178,59437,25025,24335,0,0,135,0,4,34734,1178,19154,12686,10
"MRI-ESM2-0","ssp245",2021,44113,142,428,17201,0,0,0,0,180,0,1566,32926,66656,45435,32494,40273,990,57934,19928,36062,0,0,533,0,82,33588,990,12382,7590,10
"ensemble","ssp245",2041,41867,134,187,15601,0,0,0,0,194,0,923,30982,67710,45884,30702,31740,812,62479,22466,33582,0,0,1749,0,23,34846,812,11491,7157,0
"ACCESS-ESM1-5","ssp245",2041,45435,216,245,15331,0,0,0,0,138,0,402,33592,69267,54216,40150,47939,2000,60945,22071,40388,0,11,4778,905,174,24883,2000,3690,947,65
