"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,27944,1117,850,31071,0,0,0,0,1407,0,6679,13171,54103,41080,52393,35646,12402,68379,28179,31519,0,0,0,0,4217,40750,1162,34222,32740,235
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,24878,943,687,28109,0,0,0,0,1085,0,3878,11648,54034,40762,52212,34853,7629,66340,23891,23991,0,0,0,0,3020,35478,776,28187,24405,22
"ACCESS-ESM1-5","ssp245",2001,22389,820,620,26547,0,0,0,0,885,0,2809,12388,53983,40778,52226,34720,7051,64948,22309,16100,0,0,0,0,3139,31886,836,26346,17974,5
"CNRM-ESM2-1","ssp245",2001,25974,971,712,27637,0,0,0,0,1096,0,4302,11256,54003,40500,52177,35311,8723,66509,24852,28149,0,0,0,0,3106,37039,298,28028,27391,22
"EC-Earth3","ssp245",2001,23076,638,434,28273,0,0,0,0,758,0,2880,11670,53987,40668,52200,34514,7075,67120,21106,21856,0,0,0,0,2485,35098,1020,28145,22602,11
"GFDL-ESM4","ssp245",2001,25560,895,667,26201,0,0,0,0,997,0,4667,11263,53424,40340,51579,33756,9517,67756,23601,28034,0,0,0,0,3204,39949,666,27881,27258,34
"GISS-E2-1-G","ssp245",2001,25360,1004,743,28122,0,0,0,0,1108,0,5339,12038,53932,40924,51693,34502,9629,66651,24552,27201,0,0,0,0,3426,37688,356,25839,26476,16
"MIROC6","ssp245",2001,23286,947,674,26793,0,0,0,0,1096,0,4267,11619,54016,40855,51914,34380,8426,65262,23243,25227,0,0,0,0,2744,35104,185,23138,23121,13
"MPI-ESM1-2-HR","ssp245",2001,20833,921,695,27525,0,0,0,0,1091,0,3713,11501,53664,40481,52055,33418,5994,67164,20354,21677,0,0,0,0,2511,35780,1105,30800,24420,72
"MRI-ESM2-0","ssp245",2001,21062,488,289,27179,0,0,0,0,635,0,2958,10896,54005,40586,52245,33524,5953,67212,20251,22455,0,0,0,0,1811,35289,955,29275,23417,22
"ensemble","ssp245",2021,23759,594,382,26699,0,0,0,0,633,0,2294,10795,54095,40834,52299,33894,6496,67330,21460,21731,0,0,0,0,1944,33102,637,23058,18341,2
"ACCESS-ESM1-5","ssp245",2021,19890,362,285,22935,0,0,0,0,289,0,932,11552,54049,40748,52341,33436,6214,67048,19624,11687,0,0,0,0,2079,27253,436,21155,8954,1
"CNRM-ESM2-1","ssp245",2021,22870,654,432,27274,0,0,0,0,735,0,2716,10705,54061,40721,52279,33825,6612,67645,20329,21206,0,0,0,0,1888,34535,804,25337,19639,1
"EC-Earth3","ssp245",2021,22218,425,263,26323,0,0,0,0,311,0,1560,10596,54098,40663,52296,33860,6546,67934,19438,22495,0,0,0,0,1537,33438,786,23458,18232,7
"GFDL-ESM4","ssp245",2021,24882,717,479,25899,0,0,0,0,821,0,3012,10859,54070,40806,52224,34137,7314,65957,23057,25097,0,0,0,0,2156,33305,161,22435,21544,3
"GISS-E2-1-G","ssp245",2021,24487,696,467,26244,0,0,0,0,723,0,3315,11060,54072,40954,52170,33884,8259,67241,21867,25171,0,0,0,0,2298,35831,383,17985,17305,0
"MIROC6","ssp245",2021,23816,478,302,24191,0,0,0,0,521,0,2262,9606,54081,40877,52256,32219,7377,67017,20822,25820,0,0,0,0,1622,34988,282,19583,18226,0
"MPI-ESM1-2-HR","ssp245",2021,23011,821,583,27948,0,0,0,0,925,0,2814,11374,54067,40732,52261,34149,6993,67432,21560,21388,0,0,0,0,2650,34143,935,26667,21134,5
"MRI-ESM2-0","ssp245",2021,15587,540,378,24713,0,0,0,0,241,0,2110,11040,54092,40896,52359,32997,5516,68153,14123,13731,0,0,0,0,1603,33085,803,26783,13038,9
"ensemble","ssp245",2041,21600,296,198,22608,0,0,0,0,232,0,1364,9526,54098,40938,52357,30776,6759,68185,18328,22725,0,0,0,0,1389,33565,522,18138,13173,0
"ACCESS-ESM1-5","ssp245",2041,10027,355,186,15143,0,0,0,0,226,0,610,9749,53136,40820,52339,28145,5245,68165,11485,5108,0,0,0,0,2182,23952,230,20102,2468,0
"CNRM-ESM2-1","ssp245",2041,23565,520,343,25455,0,0,0,0,334,0,2079,10346,54089,40860,52327,33518,6816,67954,20872,22746,0,0,0,0,1647,33677,621,20031,15647,0
"EC-Earth3","ssp245",2041,21037,760,559,20235,0,0,0,0,565,0,1076,8596,54103,40904,52351,28961,6150,68174,18970,21358,0,0,0,0,1426,29264,354,16222,12029,1
"GFDL-ESM4","ssp245",2041,13062,85,61,11536,0,0,0,0,78,0,726,3874,53626,40647,52387,18725,4011,68224,9730,22496,0,0,0,0,757,33242,434,20704,14206,1
"GISS-E2-1-G","ssp245",2041,23318,272,163,22956,0,0,0,0,242,0,2025,9511,54066,41019,52296,31819,7915,68146,18309,26265,0,0,0,0,1476,36898,354,13505,11862,0
"MIROC6","ssp245",2041,18873,194,148,17791,0,0,0,0,202,0,1272,7344,54100,40885,52336,25613,6409,68123,15547,24635,0,0,0,0,1249,34185,366,16680,13669,0
"MPI-ESM1-2-HR","ssp245",2041,17626,490,293,23388,0,0,0,0,537,0,2446,10595,54056,40875,52307,31850,6363,68095,14944,18026,0,0,0,0,1609,35114,834,24483,15341,0
"MRI-ESM2-0","ssp245",2041,22208,846,607,23683,0,0,0,0,648,0,1640,10287,54057,41032,52274,33171,7590,68377,17565,23934,0,0,0,0,1479,36890,726,14069,9009,0
"ensemble","ssp245",2061,17209,209,100,16649,0,0,0,0,78,0,776,7623,54101,41045,52379,26011,6529,68305,13740,21515,0,0,0,0,1290,33728,487,16177,8498,0
"ACCESS-ESM1-5","ssp245",2061,8248,559,403,11008,0,0,0,0,592,0,656,8437,52354,40769,52330,23730,4565,68067,9688,7166,0,0,0,0,2109,20594,149,15507,1138,0
"CNRM-ESM2-1","ssp245",2061,18228,374,227,17443,0,0,0,0,138,0,898,7613,54103,40958,52377,26572,6403,68309,14700,23994,0,0,0,0,1278,33671,501,15690,10641,0
"EC-Earth3","ssp245",2061,13113,766,570,11414,0,0,0,0,332,0,984,5542,54094,41050,52296,19740,6265,68297,9246,25633,0,0,0,0,1166,32561,370,9344,5809,1
"GFDL-ESM4","ssp245",2061,17423,208,165,17465,0,0,0,0,176,0,979,8346,54065,40832,52350,26816,5868,68177,15406,19481,0,0,0,0,1239,31753,488,20601,13359,2
"GISS-E2-1-G","ssp245",2061,17961,138,60,16166,0,0,0,0,76,0,1007,6510,54099,41050,52357,24767,7020,68331,13042,25697,0,0,0,0,1177,36302,368,12491,8443,0
"MIROC6","ssp245",2061,12523,52,42,11926,0,0,0,0,55,0,741,5086,53891,40901,52328,21946,5141,68254,9163,19692,0,0,0,0,1266,34347,507,19252,10251,0
"MPI-ESM1-2-HR","ssp245",2061,8995,234,139,18758,0,0,0,0,119,0,1738,10362,54100,40999,52385,30343,5253,68323,8392,7479,0,0,0,0,1281,34829,611,28341,7308,0
"MRI-ESM2-0","ssp245",2061,19330,665,465,19667,0,0,0,0,451,0,1316,9421,54090,41064,52359,29546,7401,68355,15474,25033,0,0,0,0,1380,35506,571,11572,7735,0
"ensemble","ssp245",2081,10643,96,44,10089,0,0,0,0,33,0,379,5650,53498,41076,52392,20226,5244,68320,7836,21626,0,0,0,0,1268,31617,367,12114,4797,0
"ACCESS-ESM1-5","ssp245",2081,5263,389,258,7481,0,0,0,0,468,0,494,7269,50712,40332,52349,22037,3647,67532,7568,6482,0,0,0,0,1887,16356,28,14822,1242,0
