"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"MRI-ESM2-0","ssp245",2001,21920,490,277,21261,0,0,0,0,640,0,2088,831,54104,36188,53242,26859,15949,66675,2161,5977,0,0,0,0,16934,12253,0,22447,23405,22
"ensemble","ssp245",2021,23067,594,362,22073,0,0,0,0,659,0,1066,201,54176,36413,52993,29667,14888,67057,1762,2111,0,0,0,0,17853,7826,0,17260,18329,2
"ACCESS-ESM1-5","ssp245",2021,17395,371,235,17878,0,0,0,0,398,0,373,24,53479,35450,53115,28190,8227,66475,1788,126,0,0,0,0,13218,9725,0,8650,8946,1
"CNRM-ESM2-1","ssp245",2021,22514,657,406,21363,0,0,0,0,758,0,1406,339,54180,36592,53127,27934,14768,66917,1925,3355,0,0,0,0,17011,9767,0,18425,19627,1
"EC-Earth3","ssp245",2021,20655,429,213,19497,0,0,0,0,518,0,629,34,54001,36269,53085,27058,14108,67601,1504,2298,0,0,0,0,15327,7434,0,17570,18220,7
"GFDL-ESM4","ssp245",2021,26190,707,471,24568,0,0,0,0,823,0,1605,1096,54363,36308,52966,33640,21973,65713,1680,3350,0,0,0,0,20295,8107,0,20006,21532,3
"GISS-E2-1-G","ssp245",2021,24481,676,458,22527,0,0,0,0,741,0,1244,177,54333,36358,52727,30952,20599,66995,1920,1670,0,0,0,0,18221,6475,0,14848,17293,0
"MIROC6","ssp245",2021,24195,445,277,21957,0,0,0,0,523,0,891,447,53502,36451,52830,30695,20724,66775,1098,1942,0,0,0,0,17820,6371,0,16934,18214,0
"MPI-ESM1-2-HR","ssp245",2021,23510,824,575,22504,0,0,0,0,931,0,1782,746,54361,36416,52925,29140,16036,66895,2718,4294,0,0,0,0,18734,11263,0,20160,21122,5
"MRI-ESM2-0","ssp245",2021,13050,550,287,13224,0,0,0,0,684,0,439,0,53821,36765,53334,20661,6763,66849,1580,981,0,0,0,0,8774,9689,0,12295,13026,9
"ensemble","ssp245",2041,19598,255,163,18244,0,0,0,0,336,0,353,0,52246,36731,53183,25902,15042,67917,924,264,0,0,0,0,14061,5032,0,12369,13161,0
"ACCESS-ESM1-5","ssp245",2041,7048,363,7,8952,0,0,0,0,356,0,43,0,47238,34767,53338,16385,5471,67569,1394,1,0,0,0,0,5127,12674,0,2334,2466,0
"CNRM-ESM2-1","ssp245",2041,22285,519,277,20677,0,0,0,0,611,0,674,14,53929,36636,53095,28754,14874,67622,1393,1088,0,0,0,0,16516,6401,0,14564,15635,0
"EC-Earth3","ssp245",2041,18919,660,410,17589,0,0,0,0,931,0,458,0,50802,36655,53236,26170,12940,67785,670,19,0,0,0,0,14177,3004,0,11900,12021,1
"GFDL-ESM4","ssp245",2041,11209,87,33,10671,0,0,0,0,88,0,238,0,44416,36320,53332,14266,18634,67866,626,440,0,0,0,0,6982,5521,0,13753,14194,1
"GISS-E2-1-G","ssp245",2041,22040,233,151,18714,0,0,0,0,324,0,499,3,53171,36950,53055,27250,19583,67872,982,333,0,0,0,0,14488,4338,0,10104,11850,0
"MIROC6","ssp245",2041,17413,128,114,15731,0,0,0,0,219,0,266,0,49382,36750,53083,22898,18828,67889,668,461,0,0,0,0,11819,4508,0,12788,13657,0
"MPI-ESM1-2-HR","ssp245",2041,15609,488,262,14937,0,0,0,0,549,0,914,4,53321,36862,53102,22065,11692,66910,1564,1715,0,0,0,0,10558,9610,0,14111,15329,0
"MRI-ESM2-0","ssp245",2041,20033,611,558,16530,0,0,0,0,927,0,782,0,54079,37109,53194,25397,16109,68120,1094,103,0,0,0,0,12791,3732,0,7978,8997,0
"ensemble","ssp245",2061,14816,202,69,13557,0,0,0,0,230,0,97,0,48597,36952,53317,20475,15796,68035,817,25,0,0,0,0,9691,5639,0,8113,8487,0
"ACCESS-ESM1-5","ssp245",2061,5776,565,45,7582,0,0,0,0,654,0,16,0,42578,34410,53391,13132,6195,67414,1056,1,0,0,0,0,4628,10765,0,1088,1133,0
"CNRM-ESM2-1","ssp245",2061,16270,360,148,14382,0,0,0,0,455,0,116,0,49109,36984,53341,21698,16956,67971,786,52,0,0,0,0,10776,4370,0,10310,10632,0
"EC-Earth3","ssp245",2061,10911,767,442,9549,0,0,0,0,931,0,195,0,44863,37260,53314,14963,18684,67865,576,2,0,0,0,0,6891,2031,0,5764,5802,1
"GFDL-ESM4","ssp245",2061,15359,209,128,14779,0,0,0,0,217,0,322,0,49523,36581,53086,22283,13579,67829,1020,643,0,0,0,0,10591,6722,0,12841,13347,2
"GISS-E2-1-G","ssp245",2061,16437,119,38,13493,0,0,0,0,161,0,167,0,48552,37179,53269,20393,20618,68058,643,46,0,0,0,0,9865,4387,0,7584,8432,0
"MIROC6","ssp245",2061,10477,46,30,9748,0,0,0,0,56,0,144,0,44919,36630,53044,14525,17141,67905,874,160,0,0,0,0,6120,6642,0,9694,10240,0
"MPI-ESM1-2-HR","ssp245",2061,6337,233,73,7457,0,0,0,0,279,0,268,0,51862,36950,53359,13718,5412,66449,1122,311,0,0,0,0,3421,14122,0,6647,7297,0
"MRI-ESM2-0","ssp245",2061,17126,570,430,14330,0,0,0,0,758,0,472,0,51938,37134,53320,23195,16974,68090,886,28,0,0,0,0,10702,3265,0,6879,7724,0
"ensemble","ssp245",2081,7984,94,26,8126,0,0,0,0,116,0,7,0,43276,36382,53380,12553,16260,68051,702,2,0,0,0,0,4592,5361,0,4523,4790,0
"ACCESS-ESM1-5","ssp245",2081,3156,391,43,5196,0,0,0,0,470,0,26,0,38365,32883,53440,9208,6515,66700,993,6,0,0,0,0,2622,11577,0,1236,1240,0
"CNRM-ESM2-1","ssp245",2081,7210,344,89,7826,0,0,0,0,437,0,24,0,44793,36987,53455,12577,11223,67907,656,2,0,0,0,0,4447,8298,0,4875,4948,0
"EC-Earth3","ssp245",2081,6063,677,256,6548,0,0,0,0,793,0,86,0,41328,36363,53387,10119,16295,67507,333,2,0,0,0,0,4090,2202,0,2110,2086,0
"GFDL-ESM4","ssp245",2081,9827,14,130,7807,0,0,0,0,191,0,229,0,42294,35514,53198,9330,25556,67999,422,55,0,0,0,0,4459,2091,0,7138,8155,0
"GISS-E2-1-G","ssp245",2081,13212,63,3,11028,0,0,0,0,81,0,70,0,48135,37108,53288,18668,18939,68028,741,5,0,0,0,0,7356,5017,0,4309,4907,0
"MIROC6","ssp245",2081,7680,24,10,7853,0,0,0,0,28,0,8,0,39168,34281,53211,9384,18228,67466,813,2,0,0,0,0,4825,4592,0,4957,5139,0
"MPI-ESM1-2-HR","ssp245",2081,15462,360,232,15043,0,0,0,0,492,0,515,0,51866,36280,52826,24393,8631,67898,1397,47,0,0,0,0,10896,7042,0,10321,10942,0
"MRI-ESM2-0","ssp245",2081,6574,553,392,5501,0,0,0,0,673,0,221,0,44092,37230,53414,10248,15553,67992,713,2,0,0,0,0,2984,5554,0,3242,3365,0
