"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,32502,1138,842,30527,0,0,0,0,1407,0,5343,4029,54583,37971,53484,35639,34761,68165,4362,14036,0,0,0,0,27371,21944,0,31149,32727,235
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,26796,943,685,25626,0,0,0,0,1086,0,2686,2937,54520,36640,53081,33015,23081,65925,2955,6616,0,0,0,0,21888,13292,0,23035,24393,22
"ACCESS-ESM1-5","ssp245",2001,24105,825,611,23829,0,0,0,0,891,0,1781,2508,54361,35929,52934,32820,18763,63791,3046,3213,0,0,0,0,19552,12801,0,17017,17962,5
"CNRM-ESM2-1","ssp245",2001,29212,969,700,26810,0,0,0,0,1102,0,2981,3142,54530,36510,53078,35271,29064,66288,2691,8339,0,0,0,0,23248,14031,0,25712,27379,22
"EC-Earth3","ssp245",2001,23507,641,418,22404,0,0,0,0,773,0,1882,2396,54415,36476,53042,29118,18856,66077,2668,5367,0,0,0,0,18364,12682,0,21606,22590,11
"GFDL-ESM4","ssp245",2001,29678,893,645,25555,0,0,0,0,1000,0,3103,2936,54408,36495,52585,33575,31694,67521,3228,9815,0,0,0,0,20999,15131,0,24788,27234,34
"GISS-E2-1-G","ssp245",2001,29408,1006,730,27124,0,0,0,0,1122,0,3123,3585,54508,36635,52843,34458,31079,66317,2976,7556,0,0,0,0,22743,14056,0,23559,26464,16
"MIROC6","ssp245",2001,27045,948,673,25516,0,0,0,0,1096,0,2436,3169,54474,35964,52520,34298,27749,65013,2134,5239,0,0,0,0,21405,11033,0,20989,23109,13
"MPI-ESM1-2-HR","ssp245",2001,21909,928,686,21149,0,0,0,0,1091,0,3039,2080,54038,36689,52986,26602,17629,65837,2792,7958,0,0,0,0,17420,15926,0,23802,24408,72
