"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"MRI-ESM2-0","ssp245",2001,28638,721,615,27739,0,0,0,0,773,0,2256,1894,63767,46743,63428,31908,26757,71366,9267,8531,0,0,0,0,24254,18836,0,23946,24850,38
"ensemble","ssp245",2021,36448,702,660,32533,0,0,0,0,704,0,1259,1243,69544,52485,68749,40016,29827,72957,7103,5282,0,0,0,0,28104,12408,0,18622,19825,2
"ACCESS-ESM1-5","ssp245",2021,34367,579,400,34464,0,0,0,0,530,0,507,1293,71734,59515,71770,41364,21102,72273,12654,3449,0,0,0,2,30764,15107,0,9887,10131,1
"CNRM-ESM2-1","ssp245",2021,33523,833,735,30058,0,0,0,0,832,0,1652,1052,67350,51455,66743,35988,27902,72505,8505,6346,0,0,0,0,25660,15653,0,19913,21143,1
"EC-Earth3","ssp245",2021,33781,614,434,28549,0,0,0,0,622,0,750,477,69249,52095,68735,37915,28854,73408,7002,5625,0,0,0,0,25152,11935,0,19067,19710,10
"GFDL-ESM4","ssp245",2021,39548,866,835,34299,0,0,0,0,879,0,1830,3485,68087,49388,66926,44321,36890,70589,3786,6508,0,0,0,0,29895,10052,0,21402,23028,4
"GISS-E2-1-G","ssp245",2021,41918,748,727,32168,0,0,0,0,767,0,1479,1315,71125,54696,68952,43968,38917,73320,4612,4597,0,0,0,0,25102,9044,0,16084,18755,0
"MIROC6","ssp245",2021,40726,499,494,30354,0,0,0,0,532,0,1049,1808,69220,53236,68849,43723,38224,72567,3446,7055,0,0,0,0,25820,8918,0,18300,19761,0
"MPI-ESM1-2-HR","ssp245",2021,32900,1018,932,31931,0,0,0,0,1014,0,2024,1659,66408,48828,65263,35857,28131,72101,8427,6961,0,0,0,0,27952,16589,0,21613,22564,8
"MRI-ESM2-0","ssp245",2021,23133,890,642,22618,0,0,0,0,895,0,573,203,70095,57806,69825,27922,19117,72529,16336,4852,0,0,0,0,18605,20209,0,13523,14307,10
"ensemble","ssp245",2041,37972,304,269,27220,0,0,0,0,347,0,454,194,70812,58274,72091,41797,33427,74269,6562,6879,0,0,0,0,23248,9028,0,13648,14592,0
"ACCESS-ESM1-5","ssp245",2041,19028,589,209,20164,0,0,0,0,479,0,74,243,66704,65717,73414,29171,16395,72766,20915,11478,15,0,0,905,17632,19163,0,3058,3102,0
"CNRM-ESM2-1","ssp245",2041,38774,710,512,30508,0,0,0,0,718,0,814,439,71183,55647,70490,42260,31216,73793,6510,4669,0,0,0,0,26177,10202,0,15903,17078,0
"EC-Earth3","ssp245",2041,38793,967,840,29306,0,0,0,0,1087,0,500,205,70217,58310,72589,45472,32140,73800,5449,7872,0,0,0,0,27487,5476,0,13137,13210,2
"GFDL-ESM4","ssp245",2041,26903,106,62,17694,0,0,0,0,92,0,292,158,61060,56736,70843,28023,37089,73367,7136,22947,0,0,0,458,14636,10853,0,15356,15758,1
"GISS-E2-1-G","ssp245",2041,44377,299,235,25826,0,0,0,0,340,0,617,236,72175,60819,71741,46130,40640,74421,4141,5621,0,0,0,0,20129,6589,0,11240,13244,0
"MIROC6","ssp245",2041,36706,153,178,24023,0,0,0,0,220,0,345,256,67432,57957,71410,39363,38775,74310,4347,13090,0,0,0,1,19947,7829,0,14121,15126,0
"MPI-ESM1-2-HR","ssp245",2041,27701,567,505,22952,0,0,0,0,570,0,1135,252,68283,56479,68536,30411,25311,73084,11693,7904,0,0,0,0,18260,17921,0,15457,16806,0
"MRI-ESM2-0","ssp245",2041,41093,715,740,21661,0,0,0,0,978,0,910,2,73598,63285,71669,45509,36123,74598,7753,3747,0,0,0,0,18009,7539,0,9081,10284,5
"ensemble","ssp245",2061,34736,254,224,21163,0,0,0,0,261,0,118,74,68121,62835,73207,38935,34984,74375,8947,13021,0,0,0,2,18000,10138,0,9256,9726,0
"ACCESS-ESM1-5","ssp245",2061,20072,781,159,19684,0,0,0,0,780,0,27,91,62084,66792,73591,30038,20304,72113,18114,18032,202,0,0,1527,17010,15504,0,1344,1355,0
"CNRM-ESM2-1","ssp245",2061,36740,518,432,22467,0,0,0,0,533,0,130,70,68347,60620,72864,40749,36799,74111,6224,12092,0,0,0,0,19518,7336,0,11532,11880,0
"EC-Earth3","ssp245",2061,36012,1047,915,15889,0,0,0,0,1060,0,200,74,64845,65444,72996,40513,41932,73775,5333,19637,8,0,0,1,13851,4268,0,6820,6825,1
"GFDL-ESM4","ssp245",2061,31517,243,188,25015,0,0,0,0,231,0,414,200,66548,57485,70753,35453,30296,73814,7944,13375,0,0,0,25,21887,11979,0,14239,14782,2
"GISS-E2-1-G","ssp245",2061,39433,158,105,19205,0,0,0,0,180,0,206,48,68209,63777,72708,41898,42042,74577,5598,13823,0,0,0,0,15503,7008,0,8689,9682,0
"MIROC6","ssp245",2061,26677,50,43,16154,0,0,0,0,56,0,176,129,63637,60796,71925,28404,36885,74226,10249,20469,0,0,0,209,13578,13337,0,10999,11565,0
"MPI-ESM1-2-HR","ssp245",2061,14397,315,215,13501,0,0,0,0,318,0,340,50,68687,64358,70877,18970,14841,72490,23670,10336,0,0,0,0,9781,27519,0,7821,8539,0
"MRI-ESM2-0","ssp245",2061,40451,692,690,20228,0,0,0,0,798,0,544,24,71747,64225,72327,45818,37957,74418,6103,8079,0,0,0,0,16934,5837,0,7946,8940,5
"ensemble","ssp245",2081,30339,125,109,14698,0,0,0,0,127,0,12,56,63264,65682,73546,35037,38393,73947,9211,21578,3,0,0,602,12076,9246,0,5549,5839,0
"ACCESS-ESM1-5","ssp245",2081,12045,589,87,14898,0,0,0,0,545,0,35,145,57955,64995,73992,22246,19664,70672,18357,23458,699,16,0,2629,12377,14616,0,1410,1410,0
"CNRM-ESM2-1","ssp245",2081,22181,535,406,14756,0,0,0,0,537,0,24,39,64583,66183,73705,27149,28622,74029,16254,20837,48,0,0,12,11918,16020,0,5878,5945,0
"EC-Earth3","ssp245",2081,33457,839,496,12575,0,0,0,0,839,0,86,85,61175,68290,73362,38666,40883,72857,5217,25528,353,0,0,641,11013,4397,0,3056,3019,0
"GFDL-ESM4","ssp245",2081,34933,17,189,12637,0,0,0,0,193,0,254,101,61955,62535,72398,32340,50006,72782,2403,25118,0,0,0,1848,7622,3846,0,8328,9442,0
"GISS-E2-1-G","ssp245",2081,37932,84,41,16626,0,0,0,0,88,0,93,34,67930,66824,73052,42699,40140,74525,7185,14735,0,0,0,0,13296,8001,0,5325,5999,0
"MIROC6","ssp245",2081,31796,29,20,16839,0,0,0,0,34,0,9,178,58958,62701,72818,33158,41358,71717,5763,24290,17,8,0,2753,15080,6839,0,6004,6185,0
"MPI-ESM1-2-HR","ssp245",2081,31314,460,408,28578,0,0,0,0,523,0,610,229,70863,58908,71666,37434,25795,74329,10628,6811,0,0,0,0,25131,12998,0,11496,12206,3
"MRI-ESM2-0","ssp245",2081,26489,685,686,9116,0,0,0,0,716,0,232,10,64102,68190,72987,30807,37373,74147,13127,21464,92,0,0,0,6926,12438,0,4226,4361,0
