"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,32502,1138,842,30527,0,0,0,0,1407,0,5343,4029,54583,37971,53484,35639,34761,68165,4362,14036,0,0,0,0,27371,21944,0,31149,32727,235
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,34089,1103,1067,33127,0,0,0,0,1140,0,2957,4925,63791,45890,62519,38316,33436,68726,7254,8362,0,0,0,0,29058,17443,0,24459,25805,35
"ACCESS-ESM1-5","ssp245",2001,35611,1065,960,37541,0,0,0,0,1033,0,2144,5803,67004,50805,65918,39688,30795,66999,9739,4774,0,0,0,0,33113,18481,0,18351,19293,16
"CNRM-ESM2-1","ssp245",2001,36622,1082,1054,32812,0,0,0,0,1131,0,3206,4972,62004,43002,60578,40469,38712,68949,4043,10211,0,0,0,0,28661,15708,0,27394,28994,37
"EC-Earth3","ssp245",2001,31289,868,771,30073,0,0,0,0,890,0,2155,3578,64505,47329,63540,34798,29613,69293,8523,7186,0,0,0,0,26389,18227,0,23065,23940,22
"GFDL-ESM4","ssp245",2001,37380,945,877,31188,0,0,0,0,1025,0,3280,3478,60343,43855,58211,37038,43126,70147,4908,12246,0,0,0,0,22915,17137,0,26500,29400,55
"GISS-E2-1-G","ssp245",2001,38206,1131,1052,34054,0,0,0,0,1157,0,3624,5291,63186,44977,61102,39896,43601,68582,4475,8916,0,0,0,0,26969,15951,0,24892,28214,28
"MIROC6","ssp245",2001,38857,1166,1131,34062,0,0,0,0,1183,0,2825,6215,65542,47510,63671,42418,43182,67529,4236,7246,0,0,0,0,28835,13014,0,22305,24521,27
"MPI-ESM1-2-HR","ssp245",2001,27283,1169,965,27349,0,0,0,0,1222,0,3371,3021,60032,45364,59700,29994,24581,69047,9438,10131,0,0,0,0,24571,22879,0,25373,25828,92
