"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"ensemble","ssp245",2041,36044,146,198,21887,0,0,0,0,270,0,584,25263,54202,40938,31075,32100,434,72407,22155,14391,0,0,0,0,0,33622,434,13728,12363,0
"ACCESS-ESM1-5","ssp245",2041,29372,250,187,14643,0,0,0,0,241,0,376,21575,53260,40835,32731,33907,893,72360,15691,12331,0,0,0,0,0,24138,893,3918,1227,0
"CNRM-ESM2-1","ssp245",2041,39308,236,343,24683,0,0,0,0,416,0,857,28145,54195,40860,31892,32960,667,72407,24647,13976,0,0,0,0,0,33767,667,16234,14513,0
"EC-Earth3","ssp245",2041,34202,380,559,19567,0,0,0,0,563,0,978,24431,54198,40904,30602,31543,124,72407,23199,11292,0,0,0,0,0,29276,124,13237,11896,1
"GFDL-ESM4","ssp245",2041,20375,64,61,10983,0,0,0,0,72,0,284,11965,53703,40647,26928,27939,295,72405,11988,15575,0,0,0,0,0,33518,295,15147,13654,1
"GISS-E2-1-G","ssp245",2041,37528,124,163,22156,0,0,0,0,320,0,614,24995,54177,41019,29574,30422,615,72407,21675,16982,0,0,0,0,0,37232,615,11116,10059,0
"MIROC6","ssp245",2041,30373,95,148,16961,0,0,0,0,207,0,465,19664,54203,40885,28834,29712,361,72407,19113,15139,0,0,0,0,0,34348,361,13830,12740,0
"MPI-ESM1-2-HR","ssp245",2041,37017,286,293,22635,0,0,0,0,546,0,912,25778,54142,40875,31353,32734,723,72371,18489,15643,0,0,0,0,0,35253,723,15684,14014,0
"MRI-ESM2-0","ssp245",2041,39282,380,607,23144,0,0,0,0,840,0,1164,26806,54168,41032,29923,31110,207,72406,20265,17404,0,0,0,0,0,37193,207,8823,7631,0
"ensemble","ssp245",2061,29320,67,100,16056,0,0,0,0,83,0,360,19143,54205,41045,29778,30800,283,72407,17256,15475,0,0,0,0,0,33781,283,9364,8048,0
"ACCESS-ESM1-5","ssp245",2061,22563,404,403,10559,0,0,0,0,565,0,613,17147,52465,40971,32564,33648,686,72387,13172,12052,0,0,0,0,0,20645,686,1764,171,0
"CNRM-ESM2-1","ssp245",2061,30371,118,227,16876,0,0,0,0,153,0,566,19997,54204,40958,29499,30503,162,72407,18165,15195,0,0,0,0,0,33771,162,11594,10257,0
"EC-Earth3","ssp245",2061,22490,273,570,10920,0,0,0,0,293,0,939,13524,54205,41058,27489,28428,15,72407,12680,16292,0,0,0,0,0,32682,15,6121,5705,1
"GFDL-ESM4","ssp245",2061,30284,160,165,16655,0,0,0,0,182,0,394,20455,54164,40832,30033,31072,553,72404,19282,13074,0,0,0,0,0,31943,553,14785,12568,2
"GISS-E2-1-G","ssp245",2061,28743,41,60,15544,0,0,0,0,121,0,320,17466,54210,41050,27774,28695,286,72407,15974,17251,0,0,0,0,0,36524,286,8428,7491,0
"MIROC6","ssp245",2061,22281,38,42,11063,0,0,0,0,56,0,152,12685,54002,40901,29304,30243,339,72407,11730,16344,0,0,0,0,0,34685,339,10697,9403,0
"MPI-ESM1-2-HR","ssp245",2061,32537,93,139,18211,0,0,0,0,165,0,402,22372,54197,40999,31501,33192,435,72399,11979,17324,0,0,0,0,0,34884,435,8127,6408,0
"MRI-ESM2-0","ssp245",2061,34570,323,465,19110,0,0,0,0,520,0,926,23213,54201,41064,29257,30251,164,72407,18848,16711,0,0,0,0,0,35622,164,7598,6729,0
"ensemble","ssp245",2081,20160,28,44,9558,0,0,0,0,27,0,145,12548,53609,41079,29246,30288,248,72407,11176,15869,0,0,0,0,0,31627,248,5167,4390,0
"ACCESS-ESM1-5","ssp245",2081,16817,290,258,7062,0,0,0,0,390,0,427,14268,50825,41036,33383,34406,561,72328,9853,14682,0,0,0,0,0,16796,561,1526,33,0
"CNRM-ESM2-1","ssp245",2081,21438,132,208,10008,0,0,0,0,141,0,441,13345,54153,41056,30257,31393,95,72407,11677,16197,0,0,0,0,0,30919,95,5967,4817,0
"EC-Earth3","ssp245",2081,16213,299,508,6961,0,0,0,0,378,0,781,10689,53220,41073,28434,29405,0,72407,9824,16229,0,0,0,0,0,29408,0,2300,2084,0
"GFDL-ESM4","ssp245",2081,15749,11,134,7967,0,0,0,0,188,0,374,7955,52349,41053,23530,24330,220,72407,6292,18733,0,0,0,0,0,36965,220,7849,7034,0
"GISS-E2-1-G","ssp245",2081,27557,19,21,13734,0,0,0,0,63,0,151,17109,54214,41078,28503,29506,345,72407,15036,17012,0,0,0,0,0,35639,345,4927,4274,0
"MIROC6","ssp245",2081,15467,24,26,8190,0,0,0,0,20,0,44,10879,51439,41032,29028,29953,445,72394,8518,13675,0,0,0,0,0,29322,445,5466,4318,0
"MPI-ESM1-2-HR","ssp245",2081,35791,198,266,19983,0,0,0,0,482,0,627,25458,54211,40982,31935,32971,909,72400,21203,10431,0,0,0,0,0,29002,909,12188,10235,0
"MRI-ESM2-0","ssp245",2081,20722,201,416,8942,0,0,0,0,247,0,685,11585,54122,41078,29223,30486,48,72407,8404,18586,0,0,0,0,0,35099,48,3596,3071,0
