"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,41925,850,850,30644,0,0,0,0,1398,0,2725,31956,54214,41080,33960,34900,2674,72407,32619,20257,0,0,0,0,0,41410,2674,33273,31159,235
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,41419,687,687,27356,0,0,0,0,1083,0,1519,30692,54116,40762,33024,34169,1744,72355,29502,15234,0,0,0,0,0,35629,1744,25035,23040,22
"ACCESS-ESM1-5","ssp245",2001,41232,633,619,25706,0,0,0,0,874,0,1139,30604,54091,40778,33231,34338,1981,72244,29556,11441,0,0,0,0,0,32009,1981,21500,16737,5
"CNRM-ESM2-1","ssp245",2001,41166,706,712,26920,0,0,0,0,1097,0,1671,30075,54097,40500,32271,33106,1834,72367,30567,16591,0,0,0,0,0,37483,1834,27384,25712,22
"EC-Earth3","ssp245",2001,41113,416,431,27551,0,0,0,0,736,0,1137,30339,54049,40668,32592,34072,1506,72330,25572,14861,0,0,0,0,0,35292,1506,23778,21499,11
"GFDL-ESM4","ssp245",2001,41150,653,667,25676,0,0,0,0,966,0,1802,26887,53506,40340,29484,30602,2055,72256,26924,19514,0,0,0,0,0,40457,2055,26724,24705,34
"GISS-E2-1-G","ssp245",2001,41730,739,743,27245,0,0,0,0,1113,0,1930,29394,54015,40924,32190,33033,2068,72382,29714,17090,0,0,0,0,0,38399,2068,25238,23566,16
"MIROC6","ssp245",2001,41259,681,674,25586,0,0,0,0,1095,0,1526,29549,54090,40855,32629,33435,1511,72329,30004,14753,0,0,0,0,0,36116,1511,22506,20946,13
"MPI-ESM1-2-HR","ssp245",2001,40757,704,695,27040,0,0,0,0,1069,0,1502,29683,53712,40481,31966,34011,1376,72022,23720,15370,0,0,0,0,0,35978,1376,25996,23812,72
"MRI-ESM2-0","ssp245",2001,40292,280,286,26645,0,0,0,0,601,0,973,29480,54035,40586,31940,33743,1077,71960,23766,15509,0,0,0,0,0,35509,1077,24283,22438,22
"ensemble","ssp245",2021,39978,360,382,25819,0,0,0,0,635,0,962,29216,54179,40834,32501,33595,1004,72400,26008,13255,0,0,0,0,0,33169,1004,19153,17264,2
"ACCESS-ESM1-5","ssp245",2021,38681,281,285,22189,0,0,0,0,341,0,466,28843,54148,40748,32770,33778,1243,72321,25399,8651,0,0,0,0,0,27267,1243,12973,8286,1
"CNRM-ESM2-1","ssp245",2021,40106,411,432,26576,0,0,0,0,732,0,1147,28915,54132,40721,32280,33617,992,72385,24092,14574,0,0,0,0,0,34747,992,20237,18343,1
"EC-Earth3","ssp245",2021,39496,155,263,25548,0,0,0,0,283,0,752,29015,54148,40663,32178,33362,697,72405,23384,13998,0,0,0,0,0,33570,697,19455,17509,7
"GFDL-ESM4","ssp245",2021,40040,467,479,25042,0,0,0,0,821,0,1194,29226,54154,40806,31998,32854,1207,72374,29427,13393,0,0,0,0,0,33746,1207,21680,19974,3
"GISS-E2-1-G","ssp245",2021,40349,446,467,25132,0,0,0,0,741,0,1123,28341,54181,40954,31698,32618,1248,72406,26109,15621,0,0,0,0,0,36098,1248,16386,14827,0
"MIROC6","ssp245",2021,38180,267,302,23139,0,0,0,0,522,0,826,26429,54173,40877,30668,31435,714,72406,25849,15082,0,0,0,0,0,35360,714,18140,16906,0
"MPI-ESM1-2-HR","ssp245",2021,40626,581,582,27016,0,0,0,0,913,0,1217,29652,54154,40732,32615,33954,1513,72370,25600,13909,0,0,0,0,0,34256,1513,22294,20172,5
"MRI-ESM2-0","ssp245",2021,38904,148,378,24208,0,0,0,0,205,0,895,28322,54149,40896,32179,33809,636,72384,17839,14359,0,0,0,0,0,33123,636,14476,12264,9
