"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,31973,638,427,15395,0,0,0,0,1208,0,2089,31544,49936,31478,27757,26099,1337,54557,23457,15551,0,0,0,0,0,39372,1337,27208,20036,232
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,31644,515,344,13726,0,0,0,0,952,0,1125,29864,51659,31202,26984,25765,872,57261,20896,12336,0,0,0,0,0,34346,872,20086,13766,22
"ACCESS-ESM1-5","ssp245",2001,31754,475,312,12907,0,0,0,0,758,0,816,29560,52364,31441,27732,26106,990,58772,20728,9756,0,0,0,0,0,30270,990,16790,9750,5
"CNRM-ESM2-1","ssp245",2001,31432,529,357,13514,0,0,0,0,951,0,1246,29852,51012,30975,26501,24954,917,56862,21682,12668,0,0,0,0,0,36197,917,22215,15562,22
"EC-Earth3","ssp245",2001,31435,310,216,13822,0,0,0,0,625,0,827,28475,51975,31110,26248,25718,753,56506,18285,12302,0,0,0,0,0,34172,753,19084,12792,11
"GFDL-ESM4","ssp245",2001,31449,490,336,12880,0,0,0,0,834,0,1367,26786,49950,30926,24015,23011,1028,55961,19341,15086,0,0,0,0,0,38290,1028,21760,15420,34
"GISS-E2-1-G","ssp245",2001,31924,554,372,13671,0,0,0,0,965,0,1442,29278,50878,31382,26474,24809,1034,56710,20964,13070,0,0,0,0,0,36627,1034,20091,14205,16
"MIROC6","ssp245",2001,31500,511,337,12837,0,0,0,0,1006,0,1119,29269,51608,31260,27075,25048,756,57566,20953,11314,0,0,0,0,0,34475,756,17810,12240,13
"MPI-ESM1-2-HR","ssp245",2001,30991,528,350,13559,0,0,0,0,968,0,1100,27466,51110,30887,25716,25494,688,54648,17063,12890,0,0,0,0,0,34651,688,21195,14894,72
"MRI-ESM2-0","ssp245",2001,30734,208,143,13359,0,0,0,0,516,0,734,27057,51735,31046,25732,25370,538,56135,17437,13079,0,0,0,0,0,34400,538,19498,13324,22
"ensemble","ssp245",2021,30500,266,192,12939,0,0,0,0,517,0,706,27008,52608,31136,25973,25116,502,59940,19204,10890,0,0,0,0,0,32162,502,14908,9451,2
"ACCESS-ESM1-5","ssp245",2021,29906,206,149,11118,0,0,0,0,236,0,333,25772,53013,31421,27074,25466,622,61262,18754,7750,0,0,0,0,0,25951,622,9808,4309,1
"CNRM-ESM2-1","ssp245",2021,30544,303,216,13319,0,0,0,0,610,0,831,26494,52336,31004,25581,25048,496,58388,17810,12194,0,0,0,0,0,33698,496,15999,10491,1
"EC-Earth3","ssp245",2021,30120,105,138,12802,0,0,0,0,200,0,514,26120,52675,30973,25629,24946,348,58846,17430,11443,0,0,0,0,0,32770,348,15262,9587,7
"GFDL-ESM4","ssp245",2021,30579,350,243,12562,0,0,0,0,701,0,882,28230,52070,31164,26234,24704,604,59840,21203,10301,0,0,0,0,0,32602,604,16943,11166,3
"GISS-E2-1-G","ssp245",2021,30795,332,239,12594,0,0,0,0,563,0,839,26440,52687,31245,25356,24374,624,59921,19260,12144,0,0,0,0,0,34664,624,12406,7974,0
"MIROC6","ssp245",2021,29014,194,160,11589,0,0,0,0,428,0,612,25011,52151,31034,24636,23138,357,60358,18945,11687,0,0,0,0,0,34360,357,14110,9206,0
"MPI-ESM1-2-HR","ssp245",2021,31042,436,292,13548,0,0,0,0,764,0,886,27528,52148,31134,26113,25506,756,58268,18788,11567,0,0,0,0,0,33146,756,17796,11688,5
"MRI-ESM2-0","ssp245",2021,29695,88,201,12132,0,0,0,0,124,0,548,23901,53016,31146,25802,25123,318,56589,13337,13309,0,0,0,0,0,32249,318,11132,6738,9
"ensemble","ssp245",2041,27425,102,110,10955,0,0,0,0,190,0,409,22863,52308,31078,24668,23220,217,60894,16582,11690,0,0,0,0,0,32862,217,10384,6352,0
"ACCESS-ESM1-5","ssp245",2041,23004,148,96,7336,0,0,0,0,122,0,208,17715,50315,31433,26743,23809,446,59106,11749,11031,0,0,0,0,0,23645,446,2944,659,0
"CNRM-ESM2-1","ssp245",2041,29918,166,176,12360,0,0,0,0,284,0,582,25687,52872,31056,25366,24446,334,60303,18385,11250,0,0,0,0,0,32896,334,12448,7682,0
