"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,13972,910,496,15732,0,0,0,0,1373,0,4018,6586,40851,28515,44246,25401,7252,52463,14372,19328,0,0,0,0,2108,38875,634,27272,28612,232
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,16220,960,675,18032,0,0,0,0,1118,0,2613,7180,48392,34107,52010,28990,8066,55868,18000,17044,0,0,0,0,2105,35696,2039,22809,21538,35
"ACCESS-ESM1-5","ssp245",2001,16990,957,666,20369,0,0,0,0,964,0,2376,8840,50745,37370,57078,30610,8474,55334,20884,11934,0,0,0,0,2558,31433,3451,19688,15905,16
"CNRM-ESM2-1","ssp245",2001,16854,953,678,17021,0,0,0,0,1099,0,2760,6432,46872,32051,49388,28576,9168,55316,15250,20118,0,0,0,0,2066,37953,326,23512,24325,37
"EC-Earth3","ssp245",2001,15378,765,557,18256,0,0,0,0,828,0,2295,8004,49871,35374,53238,28990,7441,58046,18247,15933,0,0,0,0,1922,35864,3331,22552,20047,22
"GFDL-ESM4","ssp245",2001,16812,806,552,16118,0,0,0,0,996,0,3128,6256,46138,32484,46227,25470,9863,57226,13560,21206,0,0,0,0,1964,42714,777,23592,24635,55
"GISS-E2-1-G","ssp245",2001,17137,977,678,17789,0,0,0,0,1119,0,4052,7175,47496,33501,48800,27942,10949,56205,14496,18868,0,0,0,0,2396,38691,450,21230,23046,27
"MIROC6","ssp245",2001,17416,993,696,17883,0,0,0,0,1148,0,3016,7542,49388,35135,52046,29827,11129,56169,15200,17946,0,0,0,0,2406,35789,379,18990,19883,27
"MPI-ESM1-2-HR","ssp245",2001,12966,966,600,17336,0,0,0,0,1158,0,2908,8230,46652,33684,50690,26873,5252,56770,18224,15386,0,0,0,0,1662,36592,4215,25398,22549,92
"MRI-ESM2-0","ssp245",2001,13872,605,438,17237,0,0,0,0,724,0,2026,8157,50147,35449,52717,27895,6157,59622,18706,16943,0,0,0,0,1525,36227,3511,23761,20774,38
"ensemble","ssp245",2021,18528,654,489,18819,0,0,0,0,653,0,1584,6804,55016,39685,57183,31376,9160,62108,19662,17091,0,0,0,0,1714,33677,2236,17918,15648,2
"ACCESS-ESM1-5","ssp245",2021,18334,520,412,20167,0,0,0,0,297,0,691,9485,57609,45148,63812,34024,9677,61803,24934,10658,0,0,0,2,2343,27066,4524,14154,7836,1
"CNRM-ESM2-1","ssp245",2021,16900,752,556,18273,0,0,0,0,758,0,2076,7112,53560,38692,55421,29717,8036,61941,19460,16536,0,0,0,0,1571,35459,3348,19832,17150,1
"EC-Earth3","ssp245",2021,17546,521,461,18022,0,0,0,0,326,0,1079,7540,55535,39587,57326,31408,9001,63517,18467,18134,0,0,0,0,1633,34412,2316,18383,15713,10
"GFDL-ESM4","ssp245",2021,19182,794,576,17933,0,0,0,0,852,0,2065,6433,52570,36987,54966,31470,10510,58952,17272,19316,0,0,0,0,1876,33961,389,18240,18310,4
"GISS-E2-1-G","ssp245",2021,20998,745,568,18321,0,0,0,0,732,0,2348,6542,56580,41498,55837,31824,13394,63689,16576,18886,0,0,0,0,2004,36802,890,14133,14208,0
"MIROC6","ssp245",2021,20124,487,363,16468,0,0,0,0,516,0,1610,5452,55943,40112,55903,30662,12160,62809,16005,21424,0,0,0,0,1564,36788,748,15772,15469,0
"MPI-ESM1-2-HR","ssp245",2021,16330,918,672,19022,0,0,0,0,943,0,2004,7450,51916,37004,54594,29512,7482,60277,19589,16210,0,0,0,0,2024,34661,2851,21170,18568,8
"MRI-ESM2-0","ssp245",2021,12682,705,676,17598,0,0,0,0,234,0,1701,10502,57782,43578,59405,29237,7183,65618,23202,12446,0,0,0,0,1696,33577,7497,18580,11384,10
"ensemble","ssp245",2041,19607,305,265,16134,0,0,0,0,221,0,995,6028,59448,44276,59794,31492,11808,66079,17932,20967,0,0,0,0,1399,34816,2373,13496,11056,0
"ACCESS-ESM1-5","ssp245",2041,11300,524,413,15609,0,0,0,0,182,0,401,11864,59661,51644,67049,31256,8952,67000,25812,12834,11,11,0,905,2552,24744,8518,11564,2386,0
"CNRM-ESM2-1","ssp245",2041,20036,621,548,18046,0,0,0,0,332,0,1463,6451,57790,42122,58454,32377,10926,64408,18999,18213,0,0,0,0,1602,34676,2130,15316,13190,0
"EC-Earth3","ssp245",2041,20266,914,845,16342,0,0,0,0,474,0,676,5650,59588,44443,61570,32979,11104,65477,19455,22297,0,0,0,0,1819,30180,1558,12161,9988,2
"GFDL-ESM4","ssp245",2041,13758,96,74,9334,0,0,0,0,72,0,542,2686,57338,42969,58126,20681,8213,67740,12936,33343,0,0,0,458,829,34353,3032,15696,12450,1
