"GCM","scenario","proj.year","BAFA","CDF","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","SWB"
"obs","obs",1975,855,4029,31555,50377,2473,181,115,800,21911,870,105
"obs","obs",2005,391,1774,22408,47864,2102,18,26,125,13005,635,NA
"ensemble","ssp245",2001,259,2937,24602,48334,1135,100,30,226,12840,464,2
"ACCESS-ESM1-5","ssp245",2001,227,2508,19422,46971,1133,93,12,157,9016,376,NA
"CNRM-ESM2-1","ssp245",2001,180,3142,25061,48501,1130,118,44,371,14659,427,20
"EC-Earth3","ssp245",2001,6,2396,22926,49049,1324,92,28,353,11789,479,1
"GFDL-ESM4","ssp245",2001,422,2936,26550,49728,1102,97,22,539,16138,464,46
"GISS-E2-1-G","ssp245",2001,425,3585,22236,48597,997,112,12,172,13517,460,24
"MIROC6","ssp245",2001,440,3169,21370,47276,972,92,31,66,10801,537,1
"MPI-ESM1-2-HR","ssp245",2001,227,2080,25736,49017,1719,111,21,192,15460,559,1
"MRI-ESM2-0","ssp245",2001,110,831,24242,49198,1431,82,24,302,12183,572,2
"ensemble","ssp245",2021,47,201,19348,49307,307,36,15,60,6437,287,NA
"ACCESS-ESM1-5","ssp245",2021,35,24,12346,49086,439,13,35,37,1741,399,NA
"CNRM-ESM2-1","ssp245",2021,15,339,20395,49590,542,51,16,66,8754,356,NA
"EC-Earth3","ssp245",2021,NA,34,18061,49879,815,50,9,173,6347,373,NA
"GFDL-ESM4","ssp245",2021,95,1096,20343,47951,644,65,30,149,8171,361,NA
"GISS-E2-1-G","ssp245",2021,86,177,15344,49228,64,16,3,35,4908,41,NA
"MIROC6","ssp245",2021,35,447,18817,49016,225,15,9,55,5955,221,NA
"MPI-ESM1-2-HR","ssp245",2021,91,746,21237,49407,1019,71,20,122,10078,281,NA
"MRI-ESM2-0","ssp245",2021,NA,NA,16884,50104,556,60,10,101,4849,294,NA
"ensemble","ssp245",2041,1,NA,15840,50180,34,6,NA,NA,2169,107,NA
"ACCESS-ESM1-5","ssp245",2041,1,NA,7365,50016,108,11,10,NA,392,64,NA
"CNRM-ESM2-1","ssp245",2041,NA,14,15862,49922,115,20,NA,7,3869,137,NA
"EC-Earth3","ssp245",2041,NA,NA,11252,50165,1034,88,NA,71,496,81,NA
"GFDL-ESM4","ssp245",2041,2,NA,17732,50204,184,6,14,1,4149,453,NA
"GISS-E2-1-G","ssp245",2041,1,3,11766,50132,3,2,NA,1,1914,11,NA
"MIROC6","ssp245",2041,NA,NA,15458,50121,35,3,1,5,2720,89,NA
"MPI-ESM1-2-HR","ssp245",2041,24,4,18409,50081,166,14,5,3,6760,208,NA
"MRI-ESM2-0","ssp245",2041,NA,NA,11179,50354,138,86,NA,129,778,NA,NA
"ensemble","ssp245",2061,NA,NA,13375,50303,16,8,NA,NA,990,45,NA
"ACCESS-ESM1-5","ssp245",2061,NA,NA,3030,49734,37,35,NA,NA,33,4,NA
"CNRM-ESM2-1","ssp245",2061,NA,NA,13190,50305,207,36,NA,2,1141,72,NA
"EC-Earth3","ssp245",2061,NA,NA,8256,50279,464,123,NA,17,114,NA,NA
"GFDL-ESM4","ssp245",2061,1,NA,16421,50166,151,15,14,NA,3782,393,NA
"GISS-E2-1-G","ssp245",2061,NA,NA,10178,50320,2,9,NA,NA,829,1,NA
"MIROC6","ssp245",2061,NA,NA,13496,50249,35,NA,NA,NA,2271,17,NA
"MPI-ESM1-2-HR","ssp245",2061,1,NA,15597,50324,132,7,6,NA,4791,132,NA
"MRI-ESM2-0","ssp245",2061,NA,NA,10318,50352,136,66,NA,38,408,NA,NA
"ensemble","ssp245",2081,NA,NA,9459,50284,3,6,NA,NA,339,3,NA
"ACCESS-ESM1-5","ssp245",2081,NA,NA,1779,49017,2,15,8,NA,2,9,NA
"CNRM-ESM2-1","ssp245",2081,NA,NA,9695,50282,135,26,NA,NA,460,19,NA
"EC-Earth3","ssp245",2081,NA,NA,5124,49867,176,115,NA,1,14,NA,NA
"GFDL-ESM4","ssp245",2081,NA,NA,10153,50212,1,NA,NA,NA,774,NA,NA
"GISS-E2-1-G","ssp245",2081,NA,NA,7428,50342,NA,NA,NA,NA,508,NA,NA
"MIROC6","ssp245",2081,NA,NA,8875,49714,NA,8,NA,NA,780,5,NA
"MPI-ESM1-2-HR","ssp245",2081,33,NA,12964,50145,234,4,12,52,1446,81,NA
"MRI-ESM2-0","ssp245",2081,NA,NA,8615,50275,58,60,NA,NA,149,NA,NA
