"GCM","scenario","proj.year","Act","Fdi","At","Ep","Pj","Acb","Sb","Sw","Pli","Bb","Bl","Bg","Cw","Dr","Fdc","Mb","Plc","Hw","Pw","Ss","Ps","Bc","Yp","Oc","Lw","Ba","Bp","Yc","Hm","Se"
"obs","obs",1975,41925,850,850,30644,0,0,0,0,1398,0,2725,31956,54214,41080,33960,34900,2674,72407,32619,20257,0,0,0,0,0,41410,2674,33273,31159,235
"obs","obs",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ensemble","ssp245",2001,49892,1077,1077,34988,0,0,0,0,1138,0,2503,37608,63633,48990,39323,43037,2538,73901,35889,25771,0,0,0,0,11,37132,2538,26637,24440,36
"ACCESS-ESM1-5","ssp245",2001,55604,1000,1006,39573,0,0,0,0,1016,0,2937,43993,67249,54893,46207,51277,3438,73767,42633,22437,0,0,95,0,34,33375,3438,23170,17989,42
"CNRM-ESM2-1","ssp245",2001,46943,1056,1064,32909,0,0,0,0,1127,0,2468,34506,61799,46053,36564,37187,2433,73938,34764,24811,0,0,0,0,4,39536,2433,28893,27376,37
"EC-Earth3","ssp245",2001,50955,792,826,35503,0,0,0,0,854,0,2632,37911,64573,50269,39610,44799,2450,73811,32790,30007,0,0,28,0,28,37134,2450,25440,22937,22
"GFDL-ESM4","ssp245",2001,47670,868,885,31356,0,0,0,0,991,0,2752,27791,59137,46926,32784,34263,2621,73605,27682,30314,0,0,0,0,19,45262,2621,28178,26432,55
"GISS-E2-1-G","ssp245",2001,49667,1054,1075,34149,0,0,0,0,1149,0,3971,32859,62540,48648,36699,37335,2807,74046,33235,25962,0,0,0,0,2,41012,2807,26543,24890,29
"MIROC6","ssp245",2001,51808,1160,1153,34189,0,0,0,0,1183,0,3070,35489,65357,51152,39864,40481,2521,73790,36295,26014,0,0,39,0,24,38190,2521,23824,22210,34
"MPI-ESM1-2-HR","ssp245",2001,48148,1000,994,34019,0,0,0,0,1194,0,2897,36367,60314,47656,38081,44664,2011,73185,29925,29356,0,0,2,0,26,38123,2012,27854,25356,108
"MRI-ESM2-0","ssp245",2001,49263,640,657,33812,0,0,0,0,715,0,1858,36308,64008,49366,38069,44612,2100,73288,30089,32813,0,0,3,0,39,37539,2100,25984,23917,38
"ensemble","ssp245",2021,54311,657,698,36499,0,0,0,0,681,0,1909,38900,69925,55183,41716,46089,2081,74300,35054,32678,0,0,402,0,16,34793,2081,20636,18604,2
"ACCESS-ESM1-5","ssp245",2021,61473,349,549,39451,0,0,0,0,394,0,1077,46696,72853,63586,50121,58103,3563,73998,42552,29120,0,0,1044,2,47,28445,3563,14460,9282,25
"CNRM-ESM2-1","ssp245",2021,53213,755,806,35595,0,0,0,0,807,0,2532,36893,67706,53722,40073,45870,1887,74145,31675,34061,0,0,348,0,34,36705,1887,21799,19809,1
"EC-Earth3","ssp245",2021,53459,303,568,34957,0,0,0,0,372,0,1350,38028,69860,54563,40745,45169,1945,74226,31943,36311,0,0,546,0,85,35314,1945,20967,18984,10
"GFDL-ESM4","ssp245",2021,51590,852,865,34770,0,0,0,0,878,0,2282,37782,68122,52247,40344,41073,2270,74107,37723,28139,0,0,184,0,20,35424,2270,23166,21348,4
"GISS-E2-1-G","ssp245",2021,57192,717,769,34910,0,0,0,0,767,0,2886,34376,70783,57918,38863,40588,2156,74679,31751,35826,0,0,247,0,9,38449,2156,17606,16044,0
"MIROC6","ssp245",2021,52850,486,524,31517,0,0,0,0,531,0,1905,33201,70255,55791,37799,39220,1558,74429,32267,35422,0,0,1080,0,24,38090,1558,19488,18251,0
"MPI-ESM1-2-HR","ssp245",2021,51996,947,988,36796,0,0,0,0,996,0,2325,38534,66669,51876,40854,46007,2357,74125,33935,30435,0,0,180,0,9,35930,2357,23872,21606,11
"MRI-ESM2-0","ssp245",2021,58143,228,831,34297,0,0,0,0,303,0,2605,38110,70860,59920,41412,54937,1981,74317,26724,42658,0,0,711,0,163,34500,1981,15911,13472,10
